whose data do
data do you
do you trust
you trust integrity
trust integrity issues
integrity issues in
issues in the
in the |||
the ||| preservation
||| preservation of
preservation of scientific
of scientific data
scientific data |||
data ||| matthew
||| matthew s
matthew s |||
s ||| mayernik
||| mayernik |||
mayernik ||| dept
||| dept of
dept of information
of information studies
information studies |||
studies ||| graduate
||| graduate school
graduate school of
school of |||
of ||| education
||| education information
education information |||
information ||| studies
||| studies ucla
studies ucla |||
ucla ||| mattmayernikucla
||| mattmayernikucla |||
mattmayernikucla ||| edu
||| edu |||
edu ||| jillian
||| jillian c
jillian c |||
c ||| wallis
||| wallis |||
wallis ||| alberto
||| alberto pepe
alberto pepe |||
pepe ||| center
||| center for
center for |||
for ||| dept
||| dept of
dept of information
of information |||
information ||| embedded
||| embedded |||
embedded ||| studies
||| studies |||
studies ||| networked
||| networked sensing
networked sensing graduate
sensing graduate school
graduate school of
school of |||
of ||| ucla
||| ucla |||
ucla ||| education
||| education |||
education ||| information
||| information |||
information ||| studies
||| studies |||
studies ||| ucla
||| ucla |||
ucla ||| jwallisiucla
||| jwallisiucla |||
jwallisiucla ||| edu
||| edu |||
edu ||| christine
||| christine l
christine l |||
l ||| borgman
||| borgman |||
borgman ||| dept
||| dept of
dept of information
of information studies
information studies |||
studies ||| graduate
||| graduate school
graduate school of
school of |||
of ||| education
||| education information
education information |||
information ||| studies
||| studies ucla
studies ucla |||
ucla ||| borgmangseis
||| borgmangseis |||
borgmangseis ||| ucla
||| ucla |||
ucla ||| edu
||| edu |||
edu ||| apepeucla
||| apepeucla |||
apepeucla ||| edu
||| edu |||
edu ||| abstract
||| abstract |||
abstract ||| introduction
||| introduction |||
introduction ||| integrity
||| integrity of
integrity of content
of content is
content is a
is a generic
a generic issue
generic issue in
issue in curation
in curation and
curation and preservation
and preservation |||
preservation ||| but
||| but has
but has not
has not been
not been extensively
been extensively studied
extensively studied in
studied in relation
in relation to
relation to scientific
to scientific data
scientific data |||
data ||| data
||| data are
data are now
are now being
now being seen
being seen as
seen as an
as an important
an important end
important end product
end product of
product of |||
of ||| scholarship
||| scholarship in
scholarship in themselves
in themselves |||
themselves ||| in
||| in this
in this paper
this paper we
paper we will
we will discuss
will discuss data
discuss data |||
data ||| integrity
||| integrity issues
integrity issues in
issues in relation
in relation to
relation to environmental
to environmental and
environmental and ecological
and ecological data
ecological data |||
data ||| and
||| and the
and the implications
the implications of
implications of these
of these issues
these issues on
issues on the
on the development
the development of
development of data
of data |||
data ||| digital
||| digital libraries
digital libraries |||
libraries ||| for
||| for users
for users to
users to trust
to trust and
trust and interpret
and interpret the
interpret the data
the data in
data in |||
in ||| scientific
||| scientific digital
scientific digital libraries
digital libraries they
libraries they must
they must be
must be able
be able to
able to assess
to assess the
assess the integrity
the integrity |||
integrity ||| of
||| of those
of those data
those data |||
data ||| criteria
||| criteria for
criteria for data
for data integrity
data integrity vary
integrity vary by
vary by context
by context by
context by |||
by ||| scientific
||| scientific problem
scientific problem by
problem by individual
by individual and
individual and a
and a variety
a variety of
variety of other
of other factors
other factors |||
factors ||| the
||| the goal
the goal of
goal of this
of this research
this research is
research is to
is to identify
to identify functional
identify functional requirements
functional requirements for
requirements for |||
for ||| digital
||| digital libraries
digital libraries of
libraries of scientific
of scientific data
scientific data encompassing
data encompassing both
encompassing both technical
both technical |||
technical ||| and
||| and social
and social factors
social factors that
factors that can
that can affect
can affect data
affect data integrity
data integrity |||
integrity ||| mechanisms
||| mechanisms to
mechanisms to |||
to ||| ensure
||| ensure data
ensure data integrity
data integrity have
integrity have to
have to be
to be present
be present at
present at each
at each stage
each stage in
stage in the
in the data
the data |||
data ||| life
||| life cycle
life cycle from
cycle from data
from data collection
data collection to
collection to data
to data preservation
data preservation and
preservation and curation
and curation |||
curation ||| the
||| the implications
the implications of
implications of our
of our research
our research on
research on data
on data integrity
data integrity are
integrity are multifold
are multifold |||
multifold ||| for
||| for the
for the ischool
the ischool research
ischool research community
research community and
community and we
and we hope
we hope to
hope to promote
to promote |||
promote ||| discussion
||| discussion of
discussion of these
of these issues
these issues |||
issues ||| preserving
||| preserving digital
preserving digital information
digital information is
information is a
is a central
a central concern
central concern to
concern to the
to the design
the design of
design of |||
of ||| information
||| information infrastructure
information infrastructure |||
infrastructure ||| digital
||| digital information
digital information takes
information takes many
takes many forms
many forms |||
forms ||| and
||| and one
and one of
one of increasing
of increasing importance
increasing importance is
importance is scientific
is scientific data
scientific data |||
data ||| data
||| data are
data are much
are much |||
much ||| less
||| less selfarchiving
less selfarchiving than
selfarchiving than are
than are publications
are publications however
publications however and
however and often
and often |||
often ||| require
||| require more
require more human
more human effort
human effort to
effort to describe
to describe and
describe and to
and to provide
to provide context
provide context for
context for |||
for ||| interpretation
