an exploration of
the life cycle
life cycle of
cycle of escience
of escience collaboratory
escience collaboratory data
center for embedded
for embedded dept
embedded dept of
dept of information
of information studies
information studies dept
studies dept of
dept of information
of information studies
dept of information
of information studies
graduate school of
graduate school of
school of education
of education graduate
education graduate school
graduate school of
school of education
information studies ucla
information studies ucla
the success of
success of escience
of escience research
escience research depends
research depends not
depends not only
not only upon
only upon effective
collaboration between scientists
between scientists and
scientists and technologists
and technologists but
technologists but also
but also upon
the active involvement
active involvement of
involvement of information
of information scientists
receive scientific data
scientific data until
data until findings
until findings are
findings are published
are published by
published by which
by which time
important information about
information about their
about their origins
their origins context
origins context and
provenance may be
may be lost
research reported here
reported here addresses
here addresses the
lifecycles of data
of data from
data from ecological
from ecological research
ecological research with
research with embedded
networked sensing technologies
a better understanding
better understanding of
understanding of these
processes will enable
will enable information
enable information scientists
information scientists to
scientists to participate
to participate in
earlier stages of
stages of the
of the life
the life cycle
life cycle and
cycle and to
and to improve
to improve curation
improve curation of
curation of these
types of scientific
of scientific data
evidence from our
from our interview
our interview study
interview study and
field research yields
research yields a
yields a nine
a nine lifecycle
nine lifecycle phases
lifecycle phases and
phases and three
and three types
three types of
lifecycle depending on
depending on the
on the research
the research goal
highlighting the impact
the impact of
impact of collaboration
of collaboration on
collaboration on the
on the research
the research processes
and potential phases
potential phases during
phases during which
during which the
which the integrity
the integrity of
integrity of the
of the captured
data is compromised
cultural information systems
information systems information
systems information infrastructure
development information management
information management preserving
management preserving digital
the success of
success of escience
of escience research
escience research depends
research depends upon
depends upon effective
collaboration between scientists
between scientists and
scientists and technologists
must learn how
learn how to
how to produce
to produce data
produce data that
data that are
that are meaningful
are meaningful to
meaningful to participants
from multiple disciplines
many decisions are
decisions are made
are made about
made about data
about data at
each stage in
stage in its
in its life
its life cycle
curation of these
of these data
these data and
data and their
and their value
for reuse depends
reuse depends heavily
depends heavily on
heavily on how
on how much
how much is
much is known
is known about
known about their
origins derivation and
derivation and provenance
archivists typically receive
typically receive scientific
receive scientific data
scientific data only
data only after
only after the
after the findings
of a study
a study are
study are published
are published or
published or after
or after a
after a researcher
a researcher retires
these archival outcomes
archival outcomes provides
outcomes provides access
provides access to
access to scientific
to scientific data
scientific data in
data in a
more importantly by
importantly by the
by the time
the time that
time that archivists
receive data much
data much of
much of the
of the information
the information necessary
information necessary for
necessary for future
copyright and disclaimer
and disclaimer information
the copyright of
copyright of this
of this document
this document remains
document remains with
remains with the
with the authors
the authors andor
authors andor their
by submitting their
submitting their papers
their papers to
papers to the
to the ischools
the ischools conference
web site the
site the authors
the authors hereby
authors hereby grant
hereby grant a
grant a nonexclusive
a nonexclusive license
nonexclusive license for
license for the
ischools to post
to post and
post and disseminate
and disseminate their
disseminate their papers
their papers on
papers on its
on its web
its web site
web site and
site and any
other electronic media
contact the authors
the authors directly
authors directly for
directly for any
for any use
any use outside
of downloading and
downloading and referencing
and referencing this
referencing this paper
neither the ischools
the ischools nor
ischools nor any
of its associated
its associated universities
associated universities endorse
universities endorse this
endorse this work
the authors are
authors are solely
responsible for their
for their papers
their papers content
our thanks to
thanks to the
to the association
the association for
computing machinery for
machinery for permission
for permission to
permission to adapt
to adapt and
adapt and use
and use their
use their template
their template for
the ischools conference
interpretation may have
may have been
have been lost
shifting the practices
the practices of
archiving such as
such as appraisal
as appraisal curation
appraisal curation and
curation and tracking
and tracking provenance
into earlier stages
earlier stages of
stages of a
of a given
a given materials
given materials life
materials life cycle
life cycle can
cycle can increase
can increase the
likelihood of capturing
of capturing reliable
capturing reliable valid
reliable valid and
valid and interpretable
and interpretable data
and thus improve
thus improve both
improve both short
both short and
short and longterm
and longterm access
longterm access and
to determine how
determine how early
how early these
early these archiving
these archiving processes
archiving processes might
processes might begin
might begin it
is necessary to
necessary to identify
to identify the
identify the life
the life cycle
life cycle of
cycle of a
of a given
a given type
given type of
type of data
escience partners often
partners often have
often have different
have different responsibilities
different responsibilities at
responsibilities at each
stage of a
of a life
a life cycle
individual researchers may
researchers may be
may be insufficiently
aware of how
of how others
how others have
others have acted
have acted upon
acted upon the
upon the data
the data or
data or how
or how others
how others may
use or interpret
or interpret the
interpret the data
the data further
data further down
further down the
down the line
making the entire
life cycle of
cycle of data
of data more
data more transparent
more transparent and
transparent and selfdocumenting
and selfdocumenting has
selfdocumenting has the
potential to simplify
to simplify data
simplify data capture
data capture management
capture management interpretation
management interpretation and
curation for all
for all parties
all parties involved
some stages can
stages can be
augmented by technical
by technical means
technical means such
means such as
such as automated
as automated tools
automated tools to
identify potential instrumentation
potential instrumentation errors
instrumentation errors as
errors as they
as they occur
stages can be
can be made
be made more
made more transparent
more transparent by
transparent by identifying
by identifying and
documenting scholarly practices
scholarly practices associated
practices associated with
associated with the
with the data
the life cycle
life cycle of
cycle of business
of business and
business and government
and government documents
government documents is
characterized by each
by each stage
each stage being
stage being handled
being handled by
handled by a
by a different
a different party
the life cycle
life cycle of
cycle of data
of data from
data from little
from little science
little science that
science that is
that is science
performed by an
by an individual
an individual or
individual or small
or small research
small research group
research group is
characterized by all
by all of
all of the
of the phases
the phases being
phases being handled
being handled by
handled by one
by one or
one or a
or a few
persons with similar
with similar domain
similar domain knowledge
domain knowledge and
knowledge and training
cycle of data
of data from
data from big
from big science
big science that
science that is
that is science
is science performed
science performed by
performed by a
large number of
number of researchers
of researchers such
researchers such as
such as highenergy
as highenergy physics
highenergy physics is
characterized by many
by many researchers
many researchers participating
researchers participating in
participating in each
in each stage
each stage of
the life cycle
these researchers all
researchers all have
all have similar
have similar domain
knowledge and training
in the research
the research reported
research reported here
reported here researchers
from multiple disciplines
multiple disciplines play
disciplines play complementary
play complementary and
complementary and sometimes
conflicting roles in
roles in data
in data handling
in keeping with
keeping with the
with the scientific
the scientific data
scientific data research
data research agenda
research agenda for
agenda for the
for the next
decade set by
set by the
by the warwick
the warwick workshop
warwick workshop our
workshop our goals
our goals are
goals are to
develop a more
a more detailed
more detailed data
detailed data models
data models for
models for each
for each domain
each domain including
intradomain and interdomain
and interdomain commonalities
interdomain commonalities b
commonalities b automatic
processes for data
for data and
data and metadata
and metadata capture
metadata capture and
capture and c
and c consistent
methods of data
of data description
data description in
description in this
in this scientific
this scientific and
scientific and technical
our exploration of
exploration of the
of the life
the life cycle
life cycle of
cycle of scientific
of scientific data
identifies the stakes
the stakes and
stakes and stakeholders
and stakeholders at
stakeholders at each
at each phase
each phase to
phase to develop
to develop a
digital curation infrastructure
curation infrastructure that
infrastructure that will
that will support
will support the
support the use
the use reuse
use reuse access
reuse access and
access and interpretation
and interpretation of
interpretation of ecological
of ecological sensing
ecological sensing data
context we need
we need to
need to understand
to understand the
understand the processes
the processes that
processes that lead
that lead to
lead to the
creation analysis and
analysis and publishing
and publishing of
publishing of said
of said data
said data for
data for metadata
capture and when
and when major
when major changes
major changes occur
changes occur to
occur to data
to data so
data so that
so that we
that we can
build appropriate provenance
appropriate provenance tracking
provenance tracking measures
objects leave no
leave no physical
no physical residue
physical residue that
residue that can
that can be
can be referenced
be referenced later
referenced later too
often useful information
useful information is
information is discarded
is discarded before
discarded before being
before being properly
assessed for archival
for archival value
research reported here
reported here is
here is affiliated
is affiliated with
affiliated with the
with the center
the center for
center for embedded
networked sensing cens
sensing cens a
cens a national
a national science
national science foundation
science and technology
and technology center
technology center established
center established in
cens supports multidisciplinary
collaborations among faculty
among faculty students
faculty students and
students and staff
and staff of
staff of five
of five partner
universities across disciplines
across disciplines ranging
disciplines ranging from
ranging from computer
from computer science
computer science to
the centers goals
centers goals are
goals are to
are to develop
to develop and
develop and implement
wireless sensing systems
sensing systems and
systems and to
and to apply
to apply this
apply this technology
this technology to
technology to address
questions in four
in four scientific
four scientific areas
scientific areas habitat
areas habitat ecology
habitat ecology marine
microbiology environmental contaminant
environmental contaminant transport
contaminant transport and
application of this
of this technology
this technology already
technology already has
already has been
shown to reveal
to reveal patterns
reveal patterns and
patterns and phenomena
and phenomena that
phenomena that were
that were not
were not previously
our data management
data management research
management research group
research group has
group has been
has been part
been part of
part of cens
since its inception
while few scientific
few scientific data
scientific data were
data were generated
were generated in
generated in the
early years we
years we were
we were planting
were planting the
planting the seeds
the seeds of
seeds of archival
of archival practice
archival practice and
once data captured
data captured by
captured by cens
by cens instrumentation
became relevant to
relevant to our
to our application
our application scientists
application scientists we
scientists we took
we took a
took a more
active role in
role in building
in building the
building the necessary
the necessary infrastructure
necessary infrastructure for
infrastructure for longterm
our initial research
initial research focused
research focused on
focused on defining
on defining what
defining what were
what were data
in this environment
now that we
that we understand
we understand better
understand better what
better what are
what are data
to whom and
whom and when
and when we
when we are
we are addressing
are addressing larger
addressing larger data
larger data life
data life cycle
life cycle issues
an example of
example of a
of a cens
a cens embedded
cens embedded networked
embedded networked sensing
networked sensing system
deployment will provide
will provide context
provide context for
context for the
for the life
the life cycle
life cycle of
cycle of cens
of cens data
cens researchers utilize
researchers utilize several
utilize several deployment
several deployment models
static deployments typical
deployments typical of
typical of observatories
of observatories such
observatories such as
such as neon
as neon or
geon cens researchers
cens researchers regularly
researchers regularly go
regularly go on
go on shortterm
deployments or campaigns
or campaigns where
campaigns where sensing
where sensing systems
sensing systems are
deployed in the
in the field
the field for
field for a
for a few
a few days
among the benefits
the benefits of
benefits of this
approach for exploratory
for exploratory research
exploratory research are
research are compatibility
are compatibility with
compatibility with the
with the data
collection practices of
practices of application
of application science
application science researchers
science researchers most
researchers most are
most are in
biology or environmental
or environmental sciences
environmental sciences the
sciences the ability
the ability to
ability to field
to field test
delicate and expensive
and expensive experimental
expensive experimental equipment
experimental equipment and
equipment and the
opportunity for science
for science and
science and engineering
and engineering researchers
engineering researchers to
researchers to work
together in the
in the field
the field to
field to troubleshoot
to troubleshoot technical
troubleshoot technical problems
technical problems and
improve the overall
the overall quality
overall quality of
quality of data
an example of
example of a
of a cens
a cens deployment
cens deployment is
deployment is the
is the study
the study of
study of biological
processes associated with
associated with harmful
with harmful algal
harmful algal blooms
in designing a
deployment the application
the application science
application science researchers
science researchers biologists
researchers biologists in
biologists in this
example identify a
identify a viable
a viable research
viable research site
research site in
site in this
in this case
this case a
case a lake
a lake known
for summer blooms
available background information
background information about
information about the
lake includes peak
includes peak months
peak months for
months for algae
for algae a
algae a topology
a topology of
topology of the
of the lakebed
local species of
species of phyto
of phyto and
phyto and zooplankton
and zooplankton and
zooplankton and nutrient
and nutrient presence
nutrient presence and
the engineering researchers
engineering researchers determine
researchers determine which
equipment are most
are most appropriate
most appropriate for
appropriate for capturing
for capturing the
capturing the data
the data desired
data desired by
prior to going
to going in
going in the
in the field
the field the
field the team
the team calibrates
team calibrates equipment
calibrates equipment in
equipment in the
laboratory based on
based on knowledge
on knowledge of
knowledge of the
of the types
the types of
types of organisms
of organisms likely
organisms likely to
be present in
present in the
in the water
because of the
of the natural
the natural variation
natural variation of
variation of water
organisms calibrations will
calibrations will be
will be augmented
be augmented with
augmented with physical
with physical water
samples taken adjacent
taken adjacent to
adjacent to sensors
a wet lab
wet lab will
lab will be
will be set
be set up
set up on
site to process
to process water
process water samples
once on site
on site the
site the team
the team deploys
sensors in the
in the lake
the lake using
lake using static
using static buoys
static buoys that
buoys that house
that house a
house a power
a power source
data logger and
logger and wireless
and wireless communication
wireless communication system
gps coordinates of
coordinates of each
of each buoy
each buoy times
buoy times of
