williams kate durrance
kate durrance joan
durrance joan rosenbaum
joan rosenbaum howard
u of illinois
of illinois united
illinois united states
united states of
states of america
of america u
america u of
u of michigan
of michigan united
states of america
of america indiana
america indiana u
this proposal is
proposal is for
is for three
for three papers
three papers which
papers which would
which would form
would form all
form all or
all or part
or part of
part of a
panel presentation reporting
presentation reporting current
reporting current work
current work in
work in community
in community informatics
community informatics at
it complements the
complements the wildcard
the wildcard proposal
wildcard proposal submitted
proposal submitted on
community technologyinformationinformatics which
technologyinformationinformatics which we
which we are
we are each
are each also
if there are
there are other
are other paper
other paper proposals
paper proposals in
proposals in this
in this area
this area we
area we would
we would be
glad to be
to be combined
be combined in
combined in one
in one session
one session with
session with them
as per the
per the request
the request for
request for anonymity
for anonymity the
anonymity the paper
the paper numbers
paper numbers correspond
numbers correspond to
correspond to the
authors index in
index in the
in the webform
all three of
three of us
of us will
us will present
paper top data
top data archive
data archive repurposing
archive repurposing data
repurposing data to
data to advance
to advance the
advance the emerging
field of community
of community informatics
when a federal
a federal program
federal program which
program which funded
which funded community
funded community informatics
community informatics projects
over years was
years was shut
was shut down
shut down researchers
down researchers and
researchers and staff
and staff worked
staff worked to
worked to repurpose
their files into
files into a
into a research
a research dataset
physicalplusdigital archive into
archive into a
into a distributed
a distributed collection
distributed collection proved
collection proved to
proved to be
effective teaching and
teaching and research
and research at
research at two
at two ischools
two ischools and
ischools and one
and one library
one library school
a number of
number of scholars
of scholars across
scholars across several
across several disciplines
several disciplines are
disciplines are now
are now using
now using the
dataset for their
for their investigations
to our knowledge
our knowledge there
knowledge there is
there is no
is no other
shared community informatics
community informatics dataset
analysis of the
of the top
the top data
top data is
data is deepening
is deepening our
deepening our understanding
our understanding of
understanding of several
questions among them
among them how
them how social
how social capital
social capital and
capital and social
and social networks
social networks interact
with technology in
technology in local
in local communities
local communities and
communities and allowing
and allowing us
allowing us to
us to inform
policymakers interested in
interested in top
the presentation will
presentation will report
will report the
methods used and
used and the
and the results
the results thus
results thus far
paper identifying communitycentered
identifying communitycentered outcomes
nonprofits still struggle
still struggle as
struggle as they
as they attempt
they attempt to
attempt to effectively
to effectively identify
specific outcomes of
outcomes of their
of their services
their services that
services that accrue
that accrue to
accrue to individuals
to individuals their
families community groups
community groups and
groups and the
and the larger
the larger community
these skills are
essential both to
both to communityfocused
to communityfocused icts
communityfocused icts libraries
icts libraries and
libraries and other
and other nonprofit
staff and to
and to students
to students who
students who seek
who seek to
seek to build
to build their
build their careers
their careers in
careers in these
faculty at ischools
at ischools that
ischools that have
that have embraced
have embraced community
informatics are now
are now beginning
now beginning to
beginning to give
to give students
give students the
students the knowledge
the knowledge and
experience needed to
needed to help
to help community
help community organizations
community organizations more
organizations more effectively
more effectively meet
community needs and
needs and tell
and tell their
tell their story
this presentation will
presentation will provide
will provide a
contextual framework for
framework for identifying
for identifying and
identifying and presenting
and presenting outcomes
importantly it will
it will provide
will provide examples
provide examples of
examples of outcomes
of outcomes identified
outcomes identified by
identified by graduate
students who have
who have conducted
have conducted fieldbased
conducted fieldbased outcome
fieldbased outcome studies
outcome studies of
studies of a
of a variety
a variety of
outcome categories include
categories include increasing
include increasing knowledge
and skill levels
skill levels personal
levels personal efficacy
personal efficacy gains
efficacy gains fostering
gains fostering social
fostering social capital
paper theorizing community
theorizing community informatics
community informatics memory
informatics memory practices
memory practices in
practices in online
based in the
in the insight
the insight that
insight that digital
that digital archiving
digital archiving is
archiving is a
is a fundamental
a fundamental process
fundamental process in
the sciences bowker
sciences bowker has
bowker has proposed
has proposed the
proposed the concept
the concept of
concept of memory
of memory practices
as a way
a way to
way to understand
to understand a
understand a new
a new regime
new regime of
regime of information
of information and
information and communication
technologies for recording
for recording and
recording and storing
and storing memory
he argues that
argues that these
practices are technical
are technical and
technical and social
and social and
social and include
and include shared
include shared standards
meanings and protocols
and protocols they
protocols they allow
they allow data
allow data and
data and information
and information to
information to be
to be stored
be stored and
forgotten and then
and then retrieved
then retrieved and
retrieved and remembered
in his view
his view they
view they are
routine components of
components of of
of of work
of work practices
work practices imposing
practices imposing order
imposing order on
order on things
holding and shaping
and shaping experience
this paper explores
paper explores the
explores the utility
the utility of
memory practices seen
practices seen here
seen here as
here as technologies
as technologies of
technologies of remembering
of remembering and
forgetting for understanding
for understanding the
understanding the infrastructures
the infrastructures on
infrastructures on which
on which online
