      5 science and technology
      4 virtual math teams
      4 the virtual math
      4 the information practices
      4 information science and
      3 the teams to
      3 the math forum
      3 the learning sciences
      3 specific information practices
      3 presented at the
      3 paper presented at
      3 of the learning
      3 of information science
      3 math teams vmt
      3 knowledge building is
      3 joint problem space
      3 cambridge university press
      3 annual review of
      3 and technology pp
      3 and technology asist
      3 american society of
      2 wessner et al
      2 were encouraged to
      2 uk cambridge university
      2 to cross over
      2 the teams were
      2 the relationship between
      2 the core of
      2 the boundaries of
      2 the apparent discontinuity
      2 that specific information
      2 teams were given
      2 teams vmt online
      2 teams to cross
      2 teams engaged in
      2 support for collaborative
      2 society of information
      2 sessions teams and
      2 review of information
      2 resources for new
      2 problem space is
      2 past activity as
      2 part of the
      2 over the boundaries
      2 of the virtual
      2 of their interactions
      2 of past activity
      2 of a joint
      2 narratives of past
      2 maintenance of a
      2 knowledge building over
      2 in the vmt
      2 international conference of
      2 information practices that
      2 information practices are
      2 framing narratives of
      2 for new tasks
      2 discontinuity of their
      2 cross over the
      2 continuity and sustainability
      2 conference of the
      2 computersupported cooperative work
      2 collective information practices
      2 collaborative sessions teams
      2 collaborative problem solving
      2 collaborative knowledge building
      2 cambridge uk cambridge
      2 building over time
      2 boundaries of time
      2 as resources for
      2 a set of
      2 apparent discontinuity of
      2 and were encouraged
      2 and online communities
      2 an analysis of
      2 a joint problem
      2 activity as resources
      2 activity across multiple
      1 work through a
      1 work styles can
      1 work out of
      1 work of other
      1 work ecscw pp
      1 work cscw and
      1 work by small
      1 work and the
      1 with what roschelle
      1 with the discontinuities
      1 with other interested
      1 within an episode
      1 with a shared
      1 with an array
      1 with about four
      1 wide range of
      1 who successfully overcome
      1 who can or
      1 whiteboard in addition
      1 while the distributed
      1 which participants deal
      1 which each team
      1 which combines a
      1 when smart groups
      1 what was done
      1 what roschelle and
      1 were to understand
      1 were given feedback
      1 were given a
      1 were formed with
      1 were deployed by
      1 were central to
      1 were able to
      1 we present an
      1 well as in
      1 we have seen
      1 we examined each
      1 we employed the
      1 we conducted two
      1 we can list
      1 way to describe
      1 was theorized as
      1 was local within
      1 was done in
      1 volunteer teachers at
      1 vmt virtual room
      1 vmt project small
      1 vmt online community
      1 vmt online communities
      1 vmt activity to
      1 visible and as
      1 virtual teams were
      1 virtual teams engaged
      1 virtual teams and
      1 virtual room environment
      1 virtual groups and
      1 virtual communities e
      1 very unique opportunities
      1 very consequential undertaking
      1 vasconcelos renninger shumar
      1 use reportables such
      1 use of online
      1 use of boundary
      1 used to overcome
      1 used the vmt
      1 used determines the
      1 unique opportunities to
      1 unfolding of the
      1 undertaking that lies
      1 understanding of the
      1 understanding of how
      1 understanding of a
      1 understanding different work
      1 understand human experience
      1 understand how teams
      1 underlying structure for
      1 two case studies
      1 to work through
      1 towards the past
      1 towards an interdisciplinary
      1 to understand how
      1 to the information
      1 to the creation
      1 to sustain knowledge
      1 to support effective
      1 to such outcomes
      1 to something done
      1 to some other
      1 to say that
      1 to problems of
      1 topic most studies
      1 to overcome relevant
      1 to our refinement
      1 tool with a
      1 tools to conduct
      1 to manage this
      1 to its construction
      1 to inductively and
      1 to have one
      1 together to work
      1 together different episodes
      1 to generate and
      1 to gaps of
      1 to explore the
      1 to examine the
      1 to evolve the
      1 to establish continuity
      1 to describe bridging
      1 to define a
      1 to contribute to
      1 to continue their
      1 to construct a
      1 to conduct their
      1 to collective knowledge
      1 to bridged the
      1 time how does
      1 time and sequences
      1 time and link
      1 time across participants
      1 through which participants
      1 through the entire
      1 through a special
      1 through a set
      1 three practices documented
      1 three most significant
      1 three hypothesized mechanisms
      1 three central aspects
      1 those who can
      1 this space was
      1 this sense knowledge
      1 this participants seemed
      1 this crucial topic
      1 this challenge escalates
      1 third annual iconference
      1 they were deployed
      1 they used the
      1 the vmt virtual
      1 the vmt project
      1 the use of
      1 th european conference
      1 the underlying structure
      1 the three practices
      1 the three most
      1 the third annual
      1 the th european
      1 the teams knowledge
      1 the teams engaged
      1 the team and
      1 the sustained knowledge
      1 the success of
      1 the successful construction
      1 the study of
      1 the start the
      1 the spring of
      1 the space between
      1 the sessions recorded
      1 the service of
      1 the sequential unfolding
      1 the sequences of
      1 these outcomes we
      1 these information practices
      1 the role that
      1 the relevant team
      1 the problemsolving episodes
      1 the planning and
      1 the past and
      1 theory pedagogy and
      1 theorized as a
      1 the online community
      1 then seems to
      1 the nd annual
      1 them with an
      1 the mechanisms of
      1 the least common
      1 the larger community
      1 their prior work
      1 their ongoing dynamic
      1 their knowledge building
      1 their joint activity
      1 their interest in
      1 their interactions especially
      1 their interactions e
      1 their current activity
      1 their collaborative problemsolving
      1 the international conference
      1 the interactional manner
      1 the innovative use
      1 the history of
      1 the growing orientation
      1 the groups interactions
      1 the goals of
      1 the gaps that
      1 the frontiers of
      1 the field of
      1 the existence of
      1 the evolution of
      1 the entire dataset
      1 the emergence of
      1 the dual processes
      1 the distributed nature
      1 the discontinuities relevant
      1 the development of
      1 the current problem
      1 the creation testing
      1 the creation of
      1 the creation and
      1 the context of
      1 the construction of
      1 the construction and
      1 the collective information
      1 the cognitive science
      1 the case of
      1 the awareness of
      1 the approach of
      1 the advancement of
      1 that was local
      1 that this challenge
      1 that they are
      1 that the interactional
      1 that teams employed
      1 that such bridging
      1 that provides them
      1 that lies at
      1 that lead to
      1 that integrated goals
      1 that had been
      1 that define the
      1 that coparticipants overcome
      1 that arise among
      1 texts the dual
      1 testing and improvement
      1 temporal or sequential
      1 technologymediated interactions among
      1 technology enhanced learning
      1 technology affordances for
      1 teasley described as
      1 teams were formed
      1 teams were able
      1 teams vmt project
      1 teams to manage
      1 teams to construct
      1 teams online community
      1 teams of participants
      1 teams managed their
      1 teams knowledge building
      1 teams employed to
      1 teams and were
      1 teams and tasks
      1 teams and problem
      1 teams and online
      1 team members biographies
      1 team history constructed
      1 team and expansive
      1 teaching thinking skills
      1 teaching and doing
      1 teachers of mathematics
      1 teachers at different
      1 tasks teams were
      1 tasks for their
      1 tasks collective remembering
      1 tasks and to
      1 tasks and other
      1 sustain knowledge building
      1 sustain it over
      1 sustaining group cognition
      1 sustaining and enriching
      1 sustained knowledge building
      1 sustainability of collaborative
      1 supports becomes essential
      1 summary bridging activity
      1 such represent very
      1 such bridging activity
      1 such as tasks
      1 such as smallgroup
      1 such as rules
      1 success of the
      1 successfully overcome discontinuities
      1 successful construction and
      1 submitted for the
      1 styles can result
      1 study the math
      1 study of individual
      1 study of bridging
      1 studies of vmt
      1 studies in the
      1 studies in ethnomethodology
      1 studies have concentrated
      1 studied from a
      1 students selected by
      1 structure that integrated
      1 structure for the
      1 structural feature in
      1 start the teams
      1 star the emergence
      1 standifer computersupported cooperative
      1 stahl b suthers
      1 stahl a digital
      1 staff members and
      1 spring of and
      1 special online environment
      1 special attention to
      1 speak about a
      1 space was theorized
      1 space is significantly
      1 space is created
      1 space constitutes a
      1 solely on characterizing
      1 society proceedings pp
      1 smart groups fail
      1 small groups of
      1 small groups and
      1 smallgroup research arrow
      1 situation and were
      1 significant practices documented
      1 significantly distributed over
      1 shown that this
      1 shown that the
      1 should speak about
      1 shared whiteboard in
      1 shared knowledge in
      1 several studies in
      1 sessions recorded paying
      1 sessions over a
      1 service of learning
      1 service for a
      1 series of information
      1 sequential unfolding of
      1 sequential organization of
      1 sequences of events
      1 sequences of activity
      1 sense knowledge building
      1 selfexplaining expository texts
      1 selected by volunteer
      1 seen that this
      1 seems to define
      1 seemed to have
      1 seemed to contribute
      1 secondaryschool students selected
      1 science society proceedings
      1 sciences icls bloomington
      1 schools across the
      1 scardamalia stahl a
      1 say that they
      1 rules procedures or
      1 roy koschmann et
      1 roseman ishii et
      1 roschelle and teasley
      1 room environment wessner
      1 role that such
      1 revealed a series
      1 retrieved from go
      1 results that had
      1 results by juxtaposing
      1 responsibility for the
      1 resources and in
      1 research arrow et
      1 requires that coparticipants
      1 represent very unique
      1 reportables such as
      1 repairing mental models
      1 remembering participants and
      1 relevant team members
      1 relevant gaps in
      1 relationship between such
      1 relationship between cscl
      1 relates to something
      1 related to its
      1 related to continuity
      1 refinement of the
